"filename", "language", "YAML", "C++", "Dart", "CMake", "Swift", "Properties", "Kotlin", "Markdown", "JSON", "MS SQL", "Batch", "comment", "blank", "total"
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 6, 104
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 7, 87
"i:\Dext\android\app\src\main\kotlin\com\wucode\Dext\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"i:\Dext\android\app\src\main\kotlin\com\wuyu\YuMeng_nya\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3, -6
"i:\Dext\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"i:\Dext\database_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, -188, 0, -26, -25, -239
"i:\Dext\init_database.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, -3, -8, -45
"i:\Dext\init_database.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, -163, 0, -20, -16, -199
"i:\Dext\lib\main.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 31
"i:\Dext\lib\models\user.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 102
"i:\Dext\lib\pages\edit_survey_content_page.dart", "Dart", 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -49
"i:\Dext\lib\pages\frame_page.dart", "Dart", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -2, 3, -29
"i:\Dext\lib\pages\home_page.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"i:\Dext\lib\pages\home_settings_content.dart", "Dart", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 132
"i:\Dext\lib\pages\login_page.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 71
"i:\Dext\lib\pages\survey_page.dart", "Dart", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"i:\Dext\lib\services\api_service.dart", "Dart", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 108
"i:\Dext\lib\services\crypto_service.dart", "Dart", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -5
"i:\Dext\lib\theme\theme.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"i:\Dext\lib\theme\zincx_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"i:\Dext\lib\widgets\rotating_text.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 68
"i:\Dext\linux\flutter\generated_plugin_registrant.cc", "C++", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"i:\Dext\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"i:\Dext\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"i:\Dext\pubspec.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"i:\Dext\windows\flutter\generated_plugin_registrant.cc", "C++", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"i:\Dext\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"Total", "-", 7, -7, 371, -2, -2, 10, 0, 199, 1, -351, -34, -19, 33, 206
