"filename", "language", "Batch", "YAML", "JSON", "Swift", "XML", "C++", "CMake", "HTML", "Dart", "Kotlin", "Properties", "Markdown", "Gradle", "comment", "blank", "total"
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 6, 104
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"i:\Dext\.VSCodeCounter\2025-08-24_03-31-37\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 7, 87
"i:\Dext\StartForMuMu.bat", "Batch", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"i:\Dext\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"i:\Dext\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 3, 12, 76
"i:\Dext\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"i:\Dext\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 50
"i:\Dext\android\app\src\main\kotlin\com\wucode\Dext\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"i:\Dext\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"i:\Dext\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"i:\Dext\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
