"filename", "language", "Kotlin", "Properties", "XML", "Gradle", "C++", "CMake", "HTML", "JSON", "Markdown", "YAML", "Swift", "JavaScript", "Ruby", "Dart", "WebAssembly Text Format", "comment", "blank", "total"
"i:\Dext\.github\workflows\flutter-build-test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 406, 0, 0, 0, 0, 0, 24, 71, 501
"i:\Dext\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 65, 276
"i:\Dext\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"i:\Dext\android\app\build.gradle", "Gradle", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 81
"i:\Dext\android\app\build.gradle.kts", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"i:\Dext\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"i:\Dext\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 67
"i:\Dext\android\app\src\main\kotlin\com\wucode\Dext\MainActivity.kt", "Kotlin", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"i:\Dext\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"i:\Dext\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"i:\Dext\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"i:\Dext\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"i:\Dext\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"i:\Dext\android\build.gradle.kts", "Kotlin", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 81
"i:\Dext\android\gradle.properties", "Properties", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"i:\Dext\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"i:\Dext\android\settings.gradle.kts", "Kotlin", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"i:\Dext\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"i:\Dext\forui.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 3, 10
"i:\Dext\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 11, 46
